0,-----,
71,Absorb,A nutrient-draining attack. The user's<br>HP is restored by half the damage taken<br>by the target.
51,Acid,The opposing team is attacked with a spray<br>of harsh acid. The acid may also lower<br>the targets' Sp. Def stats.
151,Acid Armor,The user alters its cellular structure to<br>liquefy itself, sharply raising its<br>Defense stat.
491,Acid Spray,The user spits fluid that works to melt<br>the target. This harshly reduces<br>the target's Sp. Def stat.
512,Acrobatics,The user nimbly strikes the target.<br>If the user is not holding an item,<br>this attack inflicts massive damage.
367,Acupressure,The user applies pressure to stress<br>points, sharply boosting one of<br>its stats.
332,Aerial Ace,The user confounds the target with speed,<br>then slashes.<br>The attack lands without fail.
177,Aeroblast,A vortex of air is shot at the target to<br>inflict damage.<br>Critical hits land more easily.
495,After You,The user helps the target and makes it<br>use its move right after the user.
97,Agility,The user relaxes and lightens its body to<br>move faster. It sharply boosts<br>the Speed stat.
314,Air Cutter,The user launches razor-like wind to<br>slash the opposing team.<br>Critical hits land more easily.
403,Air Slash,The user attacks with a blade of air that<br>slices even the sky. It may also make the<br>target flinch.
502,Ally Switch,The user teleports using a strange power<br>and switches its place with one of<br>its allies.
133,Amnesia,The user temporarily empties its mind to<br>forget its concerns.<br>It sharply raises the user's Sp. Def stat.
246,AncientPower,The user attacks with a prehistoric power.<br>It may also raise all the user's stats<br>at once.
453,Aqua Jet,The user lunges at the target at a speed<br>that makes it almost invisible. It is sure<br>to strike first.
392,Aqua Ring,The user envelops itself in a veil made<br>of water. It regains some HP on<br>every turn.
401,Aqua Tail,The user attacks by swinging its tail as if<br>it were a vicious wave in a raging storm.
292,Arm Thrust,The user looses a flurry of open-palmed<br>arm thrusts that hit two to five times in<br>a row.
312,Aromatherapy,The user releases a soothing scent that<br>heals all status problems affecting<br>the user's party.
274,Assist,The user hurriedly and randomly uses a<br>move among those known by other<br>Pokémon in the party.
372,Assurance,If the target has already taken some<br>damage in the same turn, this attack's<br>power is doubled.
310,Astonish,The user attacks the target while shouting<br>in a startling fashion.<br>It may also make the target flinch.
454,Attack Order,The user calls out its underlings to<br>pummel the target.<br>Critical hits land more easily.
213,Attract,If it is the opposite gender of the user,<br>the target becomes infatuated and less<br>likely to attack.
396,Aura Sphere,The user looses a blast of aura power<br>from deep within its body at the target.<br>This move is certain to hit.
62,Aurora Beam,The target is hit with a rainbow-colored<br>beam. This may also lower the target's<br>Attack stat.
475,Autotomize,The user sheds part of its body<br>to make itself lighter and sharply<br>raise its Speed stat.
419,Avalanche,An attack move that inflicts double the<br>damage if the user has been hurt by the<br>target in the same turn.
140,Barrage,Round objects are hurled at the target<br>to strike two to five times in a row.
112,Barrier,The user throws up a sturdy wall that<br>sharply raises its Defense stat.
226,Baton Pass,The user switches places with a party<br>Pokémon in waiting, passing along any<br>stat changes.
251,Beat Up,The user gets all party Pokémon to attack<br>the target. The more party Pokémon,<br>the greater the number of attacks.
187,Belly Drum,The user maximizes its Attack stat in<br>exchange for HP equal to half its max HP.
516,Bestow,The user passes its held item to the<br>target when the target isn't holding<br>an item.
117,Bide,The user endures attacks for two<br>turns, then strikes back to cause<br>double the damage taken.
20,Bind,Things such as long bodies or tentacles<br>are used to bind and squeeze<br>the target for four to five turns.
44,Bite,The target is bitten<br>with viciously sharp fangs.<br>It may make the target flinch.
307,Blast Burn,The target is razed by a fiery explosion.<br>The user must rest on the<br>next turn, however.
299,Blaze Kick,The user launches a kick that lands a<br>critical hit more easily.<br>It may also leave the target with a burn.
59,Blizzard,A howling blizzard is summoned to strike<br>the opposing team. It may also freeze<br>them solid.
335,Block,The user blocks the target's way with arms<br>spread wide to prevent escape.
551,Blue Flare,The user attacks by engulfing the target<br>in an intense, yet beautiful
34,Body Slam,The user drops onto the target<br>with its full body weight. It may also<br>leave the target with paralysis.
550,Bolt Strike,The user charges its target, surrounding<br>itself with a great amount of electricity.<br>It may leave the target with paralysis.
125,Bone Club,The user clubs the target with a bone.<br>It may also make the target flinch.
198,Bone Rush,The user strikes the target with a hard<br>bone two to five times in a row.
155,Bonemerang,The user throws the bone it holds. The<br>bone loops to hit the target twice,<br>coming and going.
340,Bounce,The user bounces up high, then drops on<br>the target on the second turn. It may<br>also leave the target with paralysis.
413,Brave Bird,The user tucks in its wings and charges<br>from a low altitude.<br>The user also takes serious damage.
280,Brick Break,The user attacks with a swift chop. It<br>can also break any barrier such as Light<br>Screen and Reflect.
362,Brine,If the target's HP is down to about half,<br>this attack will hit with double<br>the power.
145,Bubble,A spray of countless bubbles is jetted at<br>the opposing team. It may also lower the<br>targets' Speed stats.
61,BubbleBeam,A spray of bubbles is forcefully ejected<br>at the opposing team. It may also lower<br>their Speed stats.
450,Bug Bite,The user bites the target. If the target<br>is holding a Berry, the user eats it and<br>gains its effect.
405,Bug Buzz,The user vibrates its wings to generate a<br>damaging sound wave. It may also lower<br>the target's Sp. Def stat.
339,Bulk Up,The user tenses its muscles to bulk up<br>its body, boosting both its Attack and<br>Defense stats.
523,Bulldoze,The user stomps down on the ground<br>and attacks everything in the area. Hit<br>Pokémon's Speed stat is reduced.
418,Bullet Punch,The user strikes the target<br>with tough punches as fast as bullets.<br>This move always goes first.
331,Bullet Seed,The user forcefully shoots seeds at the<br>target. Two to five seeds are shot in<br>rapid succession.
347,Calm Mind,The user quietly focuses its mind and<br>calms its spirit to raise its Sp. Atk and<br>Sp. Def stats.
293,Camouflage,The user's type is changed depending on<br>its environment, such as at water's edge
445,Captivate,If it is the opposite gender of the user,<br>the target is charmed into harshly<br>lowering its Sp. Atk stat.
268,Charge,The user boosts the power of the Electric<br>move it uses on the next turn. It also<br>raises the user's Sp. Def stat.
451,Charge Beam,The user attacks with an electric<br>charge. The user may use any remaining<br>electricity to raise its Sp. Atk stat.
204,Charm,The user gazes at the target rather<br>charmingly, making it less wary.<br>The target's Attack is harshly lowered.
448,Chatter,The user attacks using a sound wave<br>based on words it has learned.<br>It may also confuse the target.
498,Chip Away,Looking for an opening, the user strikes<br>continually. The target's stat changes<br>don't affect this attack's damage.
509,Circle Throw,The user throws the target and drags out<br>another Pokémon in its party.<br>In the wild, the battle ends.
128,Clamp,The target is clamped and squeezed by<br>the user's very thick and sturdy shell for<br>four to five turns.
499,Clear Smog,The user attacks by throwing a clump of<br>special mud. All status changes are<br>returned to normal.
370,Close Combat,The user fights the target up close<br>without guarding itself. It also cuts<br>the user's Defense and Sp. Def.
489,Coil,The user coils up and concentrates.<br>This raises its Attack and Defense stats<br>as well as its accuracy.
4,Comet Punch,The target is hit with a flurry of punches<br>that strike two to five times in a row.
109,Confuse Ray,The target is exposed to a sinister<br>ray that triggers confusion.
93,Confusion,The target is hit by a weak telekinetic<br>force. It may also leave the<br>target confused.
132,Constrict,The target is attacked with long, creeping<br>tentacles or vines.<br>It may also lower the target's Speed stat.
160,Conversion,The user changes its type to become the<br>same type as one of its moves.
176,Conversion 2,The user changes its type to make itself<br>resistant to the type of the attack the<br>opponent used last.
383,Copycat,The user mimics the move used immediately<br>before it. The move fails if no other move<br>has been used yet.
322,Cosmic Power,The user absorbs a mystical power from<br>space to raise its Defense and<br>Sp. Def stats.
538,Cotton Guard,The user protects itself by wrapping<br>its body in soft cotton, drastically<br>raising the user's Defense stat.
178,Cotton Spore,The user releases cotton-like spores<br>that cling to the target,<br>harshly reducing its Speed stat.
68,Counter,A retaliation move that counters any<br>physical attack, inflicting double the<br>damage taken.
343,Covet,The user endearingly approaches<br>the target, then steals the target's<br>held item.
152,Crabhammer,The target is hammered with a large pincer.<br>Critical hits land more easily.
238,Cross Chop,The user delivers a double chop with its<br>forearms crossed.<br>Critical hits land more easily.
440,Cross Poison,A slashing attack with a poisonous blade<br>that may also leave the target poisoned.<br>Critical hits land more easily.
242,Crunch,The user crunches up the target<br>with sharp fangs. It may also lower<br>the target's Defense stat.
306,Crush Claw,The user slashes the target with hard<br>and sharp claws.<br>It may also lower the target's Defense.
462,Crush Grip,The target is crushed with great force.<br>The attack is more powerful the more<br>HP the target has left.
174,Curse,A move that works differently for the<br>Ghost type than for all other types.
15,Cut,The target is cut with a scythe or a claw.<br>It can also be used to cut down<br>thin trees.
399,Dark Pulse,The user releases a horrible aura imbued<br>with dark thoughts.<br>It may also make the target flinch.
464,Dark Void,Opposing Pokémon are dragged into<br>a world of total darkness that makes<br>them sleep.
455,Defend Order,The user calls out its underlings to<br>shield its body, raising its Defense<br>and Sp. Def stats.
111,Defense Curl,The user curls up to conceal weak spots<br>and raise its Defense stat.
432,Defog,A strong wind blows away the target's<br>obstacles such as Reflect or Light Screen.<br>It also lowers the target's evasiveness.
194,Destiny Bond,When this move is used, if the user faints
197,Detect,It enables the user to evade all attacks.<br>Its chance of failing rises if it is used<br>in succession.
91,Dig,The user burrows, then attacks<br>on the second turn.<br>It can also be used to exit dungeons.
50,Disable,For four turns, this move prevents the<br>target from using the move it last used.
435,Discharge,A flare of electricity is loosed to strike<br>the area around the user.<br>It may also cause paralysis.
291,Dive,Diving on the first turn, the user floats<br>up and attacks on the second turn.<br>It can be used to dive deep in the ocean.
146,Dizzy Punch,The target is hit with rhythmically<br>launched punches that may also<br>leave it confused.
353,Doom Desire,Two turns after this move is used, the<br>user blasts the target with a<br>concentrated bundle of light.
458,Double Hit,The user slams the target with a long tail,<br>vines
24,Double Kick,The target is quickly kicked twice in<br>succession using both feet.
104,Double Team,By moving rapidly, the user makes illusory<br>copies of itself to raise its evasiveness.
38,Double-Edge,A reckless, life-risking tackle.<br>It also damages the user by a fairly large<br>amount
3,DoubleSlap,The target is slapped repeatedly, back<br>and forth
434,Draco Meteor,Comets are summoned down from the sky<br>onto the target. The attack's recoil<br>harshly reduces the user's Sp. Atk stat.
337,Dragon Claw,The user slashes the target with huge,<br>sharp claws.
349,Dragon Dance,The user vigorously performs a mystic,<br>powerful dance that boosts its Attack and<br>Speed stats.
406,Dragon Pulse,The target is attacked with a shock wave<br>generated by the user's gaping mouth.
82,Dragon Rage,This attack hits the target with a shock<br>wave of pure rage. This attack always<br>inflicts 40 HP damage.
407,Dragon Rush,The user tackles the target while<br>exhibiting overwhelming menace.<br>It may also make the target flinch.
525,Dragon Tail,The user knocks away the target and<br>drags out another Pokémon in its party.<br>In the wild, the battle ends.
